Crime_Type,Slope,Intercept,MAE,MSE,RMSE,R2,Total_Count
Sub Total,3.7166666666666703,63.74999999999998,127.24814814814815,23827.02037037037,154.36003488717657,0.003850090428233588,741.0
RAPE (Sec.376 IPC/64 BNS) - 1.3  other Cases of Rape,3.5666666666666664,-1.6111111111111107,22.85679012345679,841.8098765432097,29.01396002863466,0.09152366233212539,146.0
"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS) - Due to Other Causes",3.5,16.166666666666664,4.2592592592592595,22.111111111111114,4.702245326555295,0.7869379014989293,303.0
AFFRAY (Sec. 160 IPC/194(2) BNS),3.4833333333333343,38.80555555555555,15.366666666666665,470.6154320987655,21.69367262818275,0.14667241224928362,506.0
CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS) - Dowry Harassment,3.4499999999999997,26.861111111111114,10.598765432098764,172.52654320987654,13.134935980425505,0.3150352906577786,397.0
"KARNATAKA STATE LOCAL ACTS - OTP Frauds (KYC Update, Apk Link)",3.266666666666667,-5.444444444444446,18.390123456790125,877.4024691358026,29.620980219023856,0.07500000000000007,98.0
CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Social Media Cases ( Instagram/Facebook/Whatsapp/X /Telegram etc.),3.2,-10.666666666666668,9.481481481481483,159.2888888888889,12.620970203945848,0.29999999999999993,48.0
Kidnapping & Abduction of Children,2.9333333333333353,239.2222222222222,168.6074074074074,33161.624691358025,182.10333520108307,0.0017268124953079278,2285.0
CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Online Money Transfer,2.5500000000000007,90.36111111111111,25.038271604938263,1739.1932098765435,41.70363545155918,0.024319186070671517,928.0
Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman) - Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),2.5333333333333337,-8.444444444444446,7.506172839506173,99.8320987654321,9.991601411457129,0.30000000000000016,38.0
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - Temple Theft",2.5166666666666675,15.305555555555552,3.646913580246913,15.20802469135802,3.8997467470796128,0.7351999140154772,251.0
Murder for other reasons - Murder for other reasons,2.466666666666667,-8.222222222222223,7.308641975308642,94.6469135802469,9.728664532208256,0.30000000000000004,37.0
Sexual Intercourse by employing deceitful means (Se 69 BNS) - False promises of marriage,2.3833333333333337,-7.3611111111111125,5.108641975308642,34.82283950617285,5.901087993427385,0.5209493885869564,41.0
KARNATAKA STATE LOCAL ACTS - Job Fraud,2.2,-3.666666666666667,12.385185185185186,397.9555555555556,19.948823412811983,0.07499999999999984,66.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - House Theft,2.166666666666667,143.16666666666666,10.037037037037031,170.92592592592598,13.073864230820433,0.15476190476190455,1386.0
KARNATAKA STATE LOCAL ACTS - Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),2.0666666666666664,-3.444444444444443,11.634567901234568,351.1802469135802,18.7398038120355,0.07500000000000029,62.0
CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Hacking of Accounts & IDs,1.933333333333334,-6.444444444444447,5.728395061728396,58.14320987654321,7.625169498217283,0.30000000000000004,29.0
"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS) - Drink & Drive Without DL",1.8833333333333337,-3.972222222222223,1.5271604938271608,3.93395061728395,1.983418921278092,0.8573634735899731,49.0
KARNATAKA STATE LOCAL ACTS - Credit Card Fraud,1.8333333333333333,-3.0555555555555554,10.320987654320987,276.35802469135797,16.62401951067665,0.07500000000000007,55.0
Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC/296 & 79 BNS if victim is a woman),1.7666666666666668,-0.6111111111111125,11.612345679012344,221.36543209876544,14.878354482225696,0.08591965742251217,74.0
CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),1.7333333333333338,45.666666666666664,13.096296296296298,393.9703703703704,19.848686867658788,0.048380747897655896,489.0
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Sudden Quarrel,1.7333333333333338,19.111111111111107,4.469135802469136,26.36543209876543,5.134728045258623,0.431718999467802,250.0
"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",1.6666666666666665,3.666666666666668,4.148148148148149,29.037037037037027,5.388602512436506,0.3894080996884737,108.0
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - At Commercial Places / Establishments",1.6333333333333337,46.388888888888886,9.74567901234568,134.68395061728393,11.605341469223726,0.1166477732793525,491.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Servant Theft,1.6000000000000008,33.44444444444444,6.306172839506172,63.18024691358025,7.948600311600795,0.2126769230769231,373.0
"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS)) - Land Dispute",1.5333333333333337,79.44444444444444,10.399999999999999,189.31358024691352,13.759127161521311,0.07646350277041702,784.0
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,1.4666666666666668,3.8888888888888875,5.777777777777778,51.8320987654321,7.199451282245898,0.2167164179104477,101.0
The Prohibition of Child Marriage Act - 2006,1.3833333333333335,10.194444444444443,6.071604938271605,63.7858024691358,7.986601434223183,0.16666935483870993,154.0
Immoral Traffic (prevention) Act. - Immoral Traffic (prevention) Act.,1.3333333333333337,-4.444444444444446,3.9506172839506175,27.654320987654316,5.258737584977436,0.30000000000000016,20.0
KARNATAKA STATE LOCAL ACTS - Digital Arrest,1.3,-2.166666666666667,7.31851851851852,138.95555555555558,11.787941107570719,0.07499999999999984,39.0
SCHEDULED CASTE AND THE SCHEDULED TRIBES - Scheduled Caste Women,1.216666666666667,36.916666666666664,4.096296296296297,23.68703703703704,4.866933021630464,0.29409492273730675,387.0
ANIMAL - Sub Total,1.2000000000000002,1.9999999999999991,13.955555555555556,502.3999999999999,22.41428116179504,0.018750000000000155,72.0
Rape,1.166666666666667,6.277777777777776,2.691358024691359,15.246913580246918,3.9047296424012403,0.37309644670050757,109.0
IMMORAL TRAFFIC - Organised,1.15,13.13888888888889,5.4567901234567895,51.726543209876546,7.192116740562304,0.14562601957585652,170.0
KARNATAKA STATE LOCAL ACTS - Fake Customer Care,1.1,-1.8333333333333335,6.192592592592593,99.4888888888889,9.974411706405991,0.07499999999999984,33.0
Kidnapping,1.0833333333333337,2.916666666666665,3.1111111111111116,15.50925925925926,3.9381796885438405,0.33531746031746035,75.0
Abetment of Suicide (Sec.306 IPC) - Abetment of Suicide (Sec.306 IPC),1.0666666666666667,-3.5555555555555554,3.160493827160494,17.698765432098767,4.206990067981949,0.29999999999999993,16.0
Offences against Public Servants (Sec.182-188-333-353 IPC) - Offences against Public Servants (Sec.182-188-333-353 IPC),1.0666666666666667,-3.5555555555555554,3.160493827160494,17.698765432098767,4.206990067981949,0.29999999999999993,16.0
KARNATAKA STATE LOCAL ACTS - Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,1.0666666666666667,16.444444444444446,6.335802469135803,101.2543209876543,10.062520608061098,0.06969147005444654,196.0
"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS) - Others",1.016666666666667,31.694444444444443,6.64567901234568,52.39320987654323,7.238315403223545,0.11623281965847532,331.0
Sexual Intercourse by employing deceitful means (Sec 69 BNS) - False promises of marriage,1.0000000000000007,-0.4444444444444482,6.419753086419752,66.46913580246911,8.152860590152951,0.0911546252532075,41.0
ANIMAL - The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,0.9999999999999999,7.111111111111112,3.259259259259259,16.76543209876543,4.094561282819617,0.28451001053740765,109.0
CHILDREN ACT - Child Marriage (Restraint) Act - 1929,0.9833333333333334,13.86111111111111,4.814814814814814,35.94876543209877,5.995728932506769,0.15205299941758876,169.0
KARNATAKA STATE LOCAL ACTS - Karnataka Forest Act 1963,0.9000000000000002,-0.055555555555556246,1.4271604938271603,2.8469135802469125,1.687279935353619,0.6547904191616768,40.0
FOREIGNER - Foreigners Act 1946,0.8833333333333336,3.8055555555555536,3.8518518518518525,21.415432098765436,4.627681071418539,0.19543135435992565,74.0
"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS) - IPC 229 A/BNS 269",0.8833333333333332,91.13888888888889,74.44567901234568,13845.045061728399,117.66496956073374,0.0003755782755575643,860.0
"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",0.8666666666666671,80.55555555555554,9.674074074074078,115.09135802469135,10.728064038990974,0.04169407894736854,764.0
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Communal Issue,0.866666666666667,0.9999999999999982,2.0296296296296297,6.77037037037037,2.6019935377264813,0.42515723270440253,48.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Of Cattle,0.8666666666666669,42.44444444444444,6.439506172839506,51.38765432098765,7.168518279322977,0.08879159369527156,421.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Of Cultrual - Others,0.8500000000000002,17.63888888888889,3.1543209876543212,13.059876543209876,3.6138451188740612,0.2694406077348065,197.0
"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS) - In Other Places",0.8166666666666669,23.583333333333336,3.744444444444444,18.664814814814815,4.3202794834147955,0.19238782051282055,249.0
PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS) - Others,0.8166666666666667,-1.7499999999999996,1.488888888888889,3.10925925925926,1.7633091785785215,0.5884803921568627,21.0
SCHEDULED CASTE AND THE SCHEDULED TRIBES - Scheduled Tribes,0.7666666666666669,21.277777777777775,4.269135802469137,22.84691358024692,4.779844514233378,0.14640221402214004,226.0
Abetment of Suicide (Sec.306 IPC/108 BNS),0.7499999999999999,-0.7499999999999996,4.166666666666667,32.25,5.678908345800274,0.10416666666666663,27.0
KARNATAKA STATE LOCAL ACTS - Business Fraud,0.7333333333333334,-1.2222222222222223,4.128395061728395,44.21728395061728,6.649607804270661,0.07500000000000007,22.0
Pettry Organised Crimes - Unauthorised Betting/Gambling,0.7166666666666668,-2.250000000000001,1.503703703703704,3.0203703703703706,1.737921278530869,0.5313218390804597,12.0
KARNATAKA STATE LOCAL ACTS - OLX Fraud,0.7000000000000002,-1.1666666666666674,3.940740740740741,40.28888888888889,6.347352904076541,0.07500000000000018,21.0
Child Labour (Pro.& Reg.) Act,0.6666666666666669,3.222222222222221,4.444444444444445,24.839506172839506,4.98392477600129,0.10657193605683823,59.0
SCHEDULED CASTE AND THE SCHEDULED TRIBES - Scheduled Tribes Women,0.65,7.638888888888889,4.307407407407407,23.504320987654314,4.848125512778553,0.10701219512195159,98.0
"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS) - Other Govt. Official",0.6166666666666669,36.47222222222222,4.839506172839506,33.26728395061728,5.767779811211354,0.07081034482758619,356.0
Disobedience to Order Promulgated by Public/Servant - Sub Total,0.5833333333333335,-1.3611111111111118,2.4629629629629632,9.75617283950617,3.123487288193466,0.18865503080082147,14.0
"Offences against Public Servants  (Sec 182-188,332,333,353IPC/217-223,121(1),121(2),132 BNS)",0.5833333333333334,-0.3611111111111116,3.5864197530864192,20.645061728395063,4.543683717909408,0.09900323275862055,23.0
"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",0.5833333333333333,36.41666666666667,4.962962962962964,33.509259259259274,5.788718274303844,0.06340579710144878,354.0
"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS) - Forgery",0.5333333333333334,35.0,3.0666666666666678,11.659259259259263,3.4145657497344026,0.13989071038251355,339.0
Dowry Death-by other Means (Sec.304(B) IPC/80 BNS),0.5166666666666667,-0.4722222222222223,2.939506172839506,15.208024691358023,3.899746747079613,0.10476017441860475,19.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Of Mines,0.5000000000000001,3.944444444444444,2.716049382716049,11.469135802469134,3.3866112564729267,0.12687969924812026,58.0
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - At Residential Premises",0.4833333333333335,78.02777777777777,5.719753086419754,46.02283950617286,6.784013524910815,0.03273222625843242,724.0
CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS) - Relative(S) in Law,0.48333333333333345,0.47222222222222143,1.2345679012345678,2.0969135802469134,1.448072367061437,0.4261824324324325,26.0
ARMS ACT 1961 - Country Made - Prohibited Bore - In Disturbed Area,0.4833333333333334,-0.6388888888888893,0.6271604938271605,0.8376543209876542,0.9152345715649373,0.6502577319587629,16.0
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - In Other Places",0.4666666666666668,1.2222222222222214,0.9530864197530864,1.4617283950617284,1.2090196007764837,0.49830508474576274,32.0
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - At Banks",0.46666666666666673,0.5555555555555554,1.0123456790123457,1.3135802469135804,1.1461152851757892,0.5249999999999999,26.0
CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Advertising Frauds,0.45000000000000007,2.305555555555555,2.417283950617284,9.341358024691356,3.056363529538225,0.12627020785219423,41.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Of Automobiles - Of Cars / Jeeps,0.45,18.194444444444443,3.159259259259259,18.452469135802474,4.29563372924211,0.06817331670822913,184.0
Murder,0.4333333333333335,2.4999999999999996,1.6000000000000003,3.859259259259259,1.96449974783894,0.24492753623188412,42.0
KARNATAKA STATE LOCAL ACTS - Matrimony Fraud,0.4333333333333333,-0.7222222222222221,2.439506172839506,15.439506172839508,3.9293137025235727,0.07499999999999984,13.0
KARNATAKA STATE LOCAL ACTS - Loan App,0.4333333333333333,-0.7222222222222221,2.439506172839506,15.439506172839508,3.9293137025235727,0.07499999999999984,13.0
KARNATAKA STATE LOCAL ACTS - Hacking of Accounts & Ids,0.4333333333333333,-0.7222222222222221,2.439506172839506,15.439506172839508,3.9293137025235727,0.07499999999999984,13.0
Kidnapping & Abduction of Women: (Sec.366 IPC/87 BNS),0.4166666666666668,-0.19444444444444509,2.660493827160494,11.385802469135804,3.374285475346715,0.09227362204724388,17.0
DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS) - Electrocution,0.41666666666666674,0.1388888888888884,1.0,1.6820987654320985,1.2969575033254168,0.40760869565217406,20.0
MOLESTATION (Sec.354 IPC/74 BNS) - Public Conveyance,0.4,-0.8888888888888888,0.7209876543209878,0.8098765432098766,0.8999314102807372,0.5684210526315789,10.0
CHILDREN ACT - Child Labour (Prohibition & Regulation) Act1986,0.3666666666666668,5.388888888888888,3.933333333333334,21.720987654320986,4.660578038647244,0.03962882096069864,65.0
"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS) - Attempt to Commit",0.36666666666666675,2.166666666666666,1.333333333333333,2.2148148148148143,1.4882253911336194,0.2880952380952382,36.0
"Murder (Sec.302/303 IPC/103,104 BNS) - Sudden Quarrel",0.3333333333333334,6.444444444444444,2.3950617283950617,9.1358024691358,3.022549001941209,0.0750000000000004,73.0
EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS) - Girl,0.3333333333333334,1.6666666666666663,1.3333333333333333,2.3703703703703702,1.539600717839002,0.23809523809523814,30.0
"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS) - Animal -Related",0.3333333333333334,3.5555555555555554,1.6296296296296298,3.8765432098765427,1.9688939051854832,0.1604278074866311,47.0
ANIMAL - Prevention of Cruelty to Animals Act 1960,0.3333333333333333,20.88888888888889,6.123456790123456,92.61728395061726,9.62378740156999,0.007934408886538069,203.0
"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS) - At Commercial Places / Establishments",0.3166666666666667,2.194444444444444,1.6925925925925926,5.2820987654320986,2.2982816984504093,0.11234439834024901,34.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Government Office,0.3166666666666667,1.8611111111111112,1.5345679012345679,2.9117283950617283,1.7063787372859895,0.18672413793103448,31.0
ARMS ACT 1960 - Country Made - Non Prohibited Bore - In Other Area,0.31666666666666665,12.083333333333332,2.7333333333333334,9.331481481481482,3.0547473678655463,0.06685185185185172,123.0
INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS) - Public Place,0.3166666666666666,11.86111111111111,1.933333333333334,4.91172839506173,2.2162419531860076,0.11980088495575192,121.0
Exposure & abandonment (Sec. 317 IPC/93 BNS),0.30000000000000004,-0.2777777777777779,1.7012345679012346,5.128395061728395,2.2645960040873505,0.10474137931034477,11.0
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Over Property Dispute,0.30000000000000004,5.166666666666667,1.9111111111111114,4.955555555555557,2.2261077142752,0.10799999999999987,60.0
